"job_id","company_id","job_title_short","job_title","job_location","job_via","job_schedule_type","job_work_from_home","search_location","job_posted_date","job_no_degree_mention","job_health_insurance","job_country","salary_rate","salary_year_avg","salary_hour_avg"
2716,146,"Software Engineer","Product Engineer","Australia","via BeBee Australia","Full-time","","Australia","2023-11-19 17:16:02","","","Australia","","",""
6245,305,"Data Engineer","Data Integration and Analytics Engineer","Frankston VIC, Australia","via LinkedIn","Full-time","","Australia","2023-11-24 17:15:36","","","Australia","","",""
8348,424,"Data Analyst","SAS Data Analyst","Australia","via Jooble","Full-time","","Australia","2023-12-03 17:08:09",1,"","Australia","","",""
11088,546,"Senior Data Engineer","Senior Data Engineers","Sydney NSW, Australia","via Jobs Trabajo.org","Full-time","","Australia","2023-01-21 17:35:49",1,"","Australia","","",""
11477,569,"Data Engineer","Data Engineer - Metaverse Project","Sydney NSW, Australia","via LinkedIn","Full-time","","Australia","2023-03-14 17:21:59","","","Australia","","",""
11538,569,"Data Scientist","Data Scientist - Blockchain Intelligence","Sydney NSW, Australia","via LinkedIn","Full-time","","Australia","2023-11-07 17:36:44","","","Australia","","",""
23677,1147,"Data Analyst","Data Analyst","Australia","via LinkedIn","Full-time","","Australia","2023-02-27 17:13:53","","","Australia","","",""
31020,569,"Data Engineer","Data Engineer - DeFi","Sydney NSW, Australia","via LinkedIn","Full-time","","Australia","2023-11-07 17:36:36","","","Australia","","",""
35513,1707,"Data Engineer","Data Engineer","Melbourne VIC, Australia","via Adzuna","Full-time","","Australia","2023-01-16 18:05:52",1,"","Australia","","",""
41554,1968,"Cloud Engineer","Cloud Engineer","Sydney NSW, Australia","via LinkedIn","Full-time","","Australia","2023-03-18 17:15:05",1,"","Australia","","",""
43158,25,"Data Analyst","Storage Engineer","Sydney NSW, Australia","via SIG Careers","Full-time","","Australia","2023-09-30 17:43:39","","","Australia","","",""
61742,2834,"Data Analyst","Data Manager","Melbourne VIC, Australia","via Jobs Trabajo.org","Full-time","","Australia","2023-01-21 17:35:58",1,"","Australia","","",""
63813,2909,"Software Engineer","OSS Lead Delivery Engineers","Melbourne VIC, Australia","via LinkedIn","Full-time","","Australia","2023-04-27 17:12:45","","","Australia","","",""
69088,3125,"Software Engineer","Level 2 Engineer","Melbourne VIC, Australia","via LinkedIn","Full-time","","Australia","2023-04-03 17:19:12","","","Australia","","",""
72813,3268,"Data Scientist","Data Scientist","Australia","via BeBee Australia","Full-time","","Australia","2023-11-15 17:17:17","","","Australia","","",""
74255,3318,"Data Analyst","Data Analyst","Australia","via LinkedIn","Full-time","","Australia","2023-02-24 17:38:35","","","Australia","","",""
76800,3412,"Data Analyst","Data Analyst (@ McDonald's)","Sydney NSW, Australia","via LinkedIn","Full-time","","Australia","2023-09-27 17:22:36",1,"","Australia","","",""
79717,3534,"Data Engineer","Data Engineer","Australia","via BeBee Australia","Full-time","","Australia","2023-10-13 17:33:45",1,"","Australia","","",""
80476,3562,"Data Analyst","Applied Scientist","Australia","via BeBee Australia","Full-time","","Australia","2023-10-11 17:12:27","","","Australia","","",""
83100,3651,"Data Engineer","Azure Data Engineer","Melbourne VIC, Australia","via Trabajo.org","Full-time","","Australia","2023-05-31 17:30:51",1,"","Australia","","",""
89242,3577,"Data Engineer","Data Engineers - Big Data & Cloud","The Rocks NSW, Australia","via Adzuna","Full-time","","Australia","2023-05-10 17:29:45",1,"","Australia","","",""
89530,1147,"Data Analyst","Data Analyst","Australia","via LinkedIn","Full-time","","Australia","2023-09-30 17:43:32","","","Australia","","",""
98507,807,"Data Engineer","Data Center Chief Engineer","Melbourne VIC, Australia","via Jooble","Full-time","","Australia","2023-06-25 17:52:32","","","Australia","","",""
107232,4625,"Data Engineer","Engineering Data Support","Melbourne VIC, Australia","via BeBee Australia","Full-time","","Australia","2023-11-11 17:14:06",1,"","Australia","","",""
107739,4644,"Machine Learning Engineer","Machine Learning Engineer","Sydney NSW, Australia","via LinkedIn","Full-time","","Australia","2023-04-14 17:32:06","","","Australia","","",""
109156,4702,"Data Scientist","IN-Sr Data Science Consultant I","Australia","via LinkedIn","Full-time","","Australia","2023-05-31 17:30:36","","","Australia","","",""
109486,4714,"Business Analyst","Business Enhancement Engineer","Sydney NSW, Australia","via SmartRecruiters Job Search","Full-time","","Australia","2023-02-09 01:43:57",1,"","Australia","","",""
113997,4891,"Software Engineer","Cloud Developer","Australia","via BeBee Australia","Full-time","","Australia","2023-11-11 17:14:09",1,"","Australia","","",""
114536,4644,"Senior Data Engineer","Senior Data Engineer","Sydney NSW, Australia","via LinkedIn","Full-time","","Australia","2023-11-30 17:16:08","","","Australia","","",""
129914,5515,"Data Engineer","Data Engineer","Central Coast NSW, Australia","via BeBee Australia","Full-time","","Australia","2023-11-15 17:17:26",1,"","Australia","","",""
132626,1147,"Data Engineer","TSPV Data Engineer","Canberra ACT, Australia","via LinkedIn","Full-time","","Australia","2023-11-28 17:18:27",1,"","Australia","","",""
139025,5837,"Data Engineer","Data Engineer","Labrador QLD, Australia","via LinkedIn","Full-time","","Australia","2023-05-11 17:30:54","","","Australia","","",""
142224,5940,"Senior Data Analyst","Senior Data Analyst","Australia","via BeBee Australia","Full-time","","Australia","2023-11-21 17:38:08",1,"","Australia","","",""
143082,3562,"Data Engineer","Data Engineer","Australia","via BeBee Australia","Full-time","","Australia","2023-09-06 17:39:01",1,"","Australia","","",""
143597,5989,"Data Engineer","Data Engineer","St Kilda VIC, Australia","via LinkedIn","Full-time","","Australia","2023-01-17 17:29:32","","","Australia","","",""
145724,1526,"Business Analyst","Media Search Analyst","Australia","via BeBee Australia","Full-time","","Australia","2023-11-15 17:17:09",1,"","Australia","","",""
146967,6114,"Business Analyst","Fp&A Analyst","Australia","via BeBee Australia","Full-time","","Australia","2023-10-17 17:14:21",1,"","Australia","","",""
147025,6117,"Data Scientist","Data Scientist","Australia","via BeBee Australia","Full-time","","Australia","2023-11-11 17:13:55","","","Australia","","",""
149253,6204,"Machine Learning Engineer","Machine Learning Engineer","Sydney NSW, Australia","via LinkedIn","Full-time","","Australia","2023-11-03 17:12:03","","","Australia","","",""
