"job_location","job_count"
"Australia","808"
"Sydney NSW, Australia","90"
"Melbourne VIC, Australia","80"
"Canberra ACT, Australia","36"
"Brisbane QLD, Australia","34"
"Perth WA, Australia","26"
"Adelaide SA, Australia","11"
"Victoria, Australia","9"
"New South Wales, Australia","8"
"Port Pirie SA, Australia","6"
"Docklands VIC, Australia","4"
"Alice Springs NT, Australia","4"
"Parramatta NSW, Australia","4"
"Macquarie Park NSW, Australia","3"
"South Australia, Australia","3"
"Hobart TAS, Australia","2"
"The Rocks NSW, Australia","2"
"Belconnen ACT, Australia","2"
"Gold Coast QLD, Australia","2"
"Western Australia, Australia","2"
"Port Melbourne VIC, Australia","2"
"Mackay QLD, Australia","1"
"Malvern East VIC, Australia","1"
"Newcastle NSW, Australia","1"
"Newtown NSW, Australia","1"
"Osterley NSW, Australia","1"
"Port Macquarie NSW, Australia","1"
"Queensland, Australia","1"
"Ryde NSW, Australia","1"
"South Perth WA, Australia","1"
"South Yarra VIC, Australia","1"
"St Lucia QLD, Australia","1"
"Strathpine QLD, Australia","1"
"Surry Hills NSW, Australia","1"
"Thomastown VIC, Australia","1"
"Toowong QLD, Australia","1"
"Ultimo NSW, Australia","1"
"Warriewood NSW, Australia","1"
"Wavell Heights QLD, Australia","1"
"Whyalla SA, Australia","1"
"Australia   (+2 others)","1"
"Australia (+2 others)","1"
"Balcatta WA, Australia","1"
"Bentley WA, Australia","1"
"Blue Mountains NSW, Australia","1"
"Brisbane City QLD, Australia","1"
"Camberwell VIC, Australia","1"
"Cannon Hill QLD, Australia","1"
"Central Coast NSW, Australia","1"
"Cherry Tree Pool WA, Australia","1"
"Derrimut VIC, Australia","1"
"Frankston VIC, Australia","1"
"Garden Island WA, Australia","1"
"Geelong VIC, Australia","1"
"Greenway ACT, Australia","1"
"Horsham VIC, Australia","1"
"Huntingfield TAS, Australia","1"
"Kingswood NSW, Australia","1"
"Lane Cove NSW, Australia","1"
"Launceston TAS, Australia","1"
