"company_name","job_count"
"Macquarie Group","260"
"Confidential","222"
"Amazon Services Inc.","176"
"Workforce Australia for Individuals","145"
"Hays","123"
"Sky","123"
"Peoplebank","104"
"Randstad","85"
"Commonwealth Bank","83"
"HAYS","66"
"Talenza","64"
"Capgemini","62"
"Servian","57"
"Randstad Australia","57"
"Michael Page","55"
"Snowflake","54"
"CareCone Group","51"
"Talent","51"
"Correlate Resources","50"
"The Argyle Network","49"
"EY","48"
"Cognizant","48"
"Arq Group","47"
"Macquarie Group Limited","45"
"Leidos","44"
"ANZ","44"
"Canva","41"
"Suncorp Group","40"
"Westpac","39"
"Amazon","38"
"Hastha Solutions","37"
"Troocoo","37"
"Paxus","37"
"Providence Health & Services","37"
"Charterhouse","37"
"Versent","35"
"XPT Software Australia Pty Ltd","35"
"Macquarie","34"
"Apple","34"
"Accenture","33"
"HiTech Group","31"
"Deloitte","30"
"ACT Government","30"
"Tabcorp","30"
"OPUS TALENT SOLUTIONS","30"
"REA Group","29"
"Talent Insights Group","29"
"Sirius People","29"
"Tata Group","29"
"Humana","29"
"Bluefin Resources","28"
"Experis","28"
"Optus","28"
"Robert Walters","28"
"Atlassian","27"
"NTT","26"
"salesforce, inc.","26"
"CYOS Solutions","26"
"Collabera Digital","26"
"Pyramid Global Technologies","26"
"Link Group","25"
"Cognizant Australia, Cognizant Technology Solutions","25"
"Whizdom Recruitment","25"
"Transurban","24"
"Allura Partners","24"
"Career Success Australia","24"
"Halcyon Knights","24"
"Fractal","23"
"Sharp & Carter","22"
"Bank of Queensland","22"
"Xpt Software Australia Pty Ltd","22"
"CircuIT Recruitment Group","22"
"Culture Amp","22"
"Australia and New Zealand Banking Group Limited (ANZ)","21"
"Peoplebank Australia Ltd","21"
"Zone IT Solutions","21"
"Launch Recruitment","21"
"TPG Telecom","21"
"Silverlink Technologies","21"
"Tata Consultancy Services","21"
"Firesoft People","21"
"Talent International","21"
"Xero","20"
"Morgan McKinley","20"
"S.i. Systems","20"
"Mane Consulting","20"
"TheDriveGroup.","20"
"Cash App","20"
"Origin Energy","20"
"Virtusa","19"
"Telstra","19"
"XPT Software","19"
"INNOVATE IT AUSTRALIA","19"
"Clicks IT Recruitment","19"
"NAB - National Australia Bank","19"
"Robert Half","18"
"SustainAbility Consulting","18"
"Softtest pays pty ltd","18"
"Australian Broadcasting Corporation","17"
"Jobx Pty Ltd","17"
"Westpac Group","17"
"Uniting","17"
"Tech Mahindra","17"
"Ontrack Systems Aus Pty Ltd","17"
"InfoCentric","17"
"IAG","17"
"Tiger Analytics","17"
"Symetra","17"
"Equinix","17"
"Renaissance InfoSystems","17"
"Singtel Group","17"
"Accenture Australia","17"
"Avance Consulting","17"
"Aurec","16"
"XPT Software Australia","16"
"Green Light","16"
"FourQuarters","16"
"Ey","16"
"Nine","16"
"Quantexa","16"
"ARQ Group","16"
"face2face Recruitment","16"
"Block","15"
"Brennan IT","15"
"Teradata","15"
"Data#3","15"
"Leidos Australia","15"
"Cognizant Technology Solutions","15"
"The Data Foundry","15"
"FourQuarters Recruitment","15"
"HelloFresh","15"
"Woolworths","15"
"eTeam","15"
"Clearcompany","15"
"West Recruitment","14"
"Charterhouse Partnership","14"
"Modis","14"
"Infosys Singapore & Australia","14"
"Gateway Synergy Recruitment","14"
"Cuusoo","14"
"coles","14"
"ED - Group Support Functions","14"
"Australian Taxation Office","14"
"Verse Group","14"
"Australian Broadcasting Corporation (ABC)","14"
"The Onset","14"
"Woolworths Limited","14"
"Mutinex","14"
"Australian Energy Market Operator (AEMO)","14"
"Finite IT","13"
"Microsoft","13"
"Exclaim IT","13"
"QBE Insurance","13"
"Bendigo and Adelaide Bank","13"
"Palo Alto Networks","13"
"TheDriveGroup","13"
"The Recruitment Company Pty Ltd","13"
"Michael Page Australia","13"
"Synechron","13"
"Mantel Group","13"
"SKY Italia","12"
"RMIT University","12"
"NAB","12"
"Hudson","12"
"Cleared ICT","12"
"IBM","12"
"Finite Recruitment","12"
"Humanised Group","12"
"ING Australia","12"
"Technology People Group","12"
"Quantium","12"
"ALOIS APAC","12"
"Endeavour Group","12"
"DXC Technology","12"
"The Boeing Company","12"
"ING","12"
"Amazon Web Services (AWS)","12"
"Sustainability Consulting","12"
"the original","12"
"Aurec Human Capital Group","12"
"Infopeople","12"
"Tpg Telecom","11"
"ignite","11"
"The Recruitment Company","11"
"NSW Government","11"
"IT Alliance Australia","11"
"Ramsay Health Care","11"
"Valrose","11"
"Recruitment Hive","11"
"HP Inc.","11"
"CSIRO","11"
"eJAmerica","11"
"ManVision Consulting","11"
"Talent Australia","11"
"Randstad Technologies Australia","11"
"TikTok","11"
"Wipro","11"
"PwC","11"
"Pepperstone","11"
"Luxury Escapes","11"
"X-Team","11"
"KPMG","11"
"Vero Insurance","11"
"Powerdata Group Consulting","11"
"LEIDOS","11"
"Crypto Recruit","11"
"Domain Group","11"
"Arcadis","11"
"Kinexus","10"
"Talent Street","10"
"Reece Group","10"
"Exadel Inc.","10"
"Australian Unity","10"
"Rio Tinto","10"
"Maltem Australia","10"
"PwC Australia","10"
"Aurecon","10"
"Simple Machines","10"
"Xpert Consulting T/A Novon","10"
"Emanate Technology","10"
"ResMed","10"
"Entain","10"
"THE ICONIC","10"
"EnergyAustralia","10"
"HUB24 Limited","10"
"Rubix Solutions","10"
"Cover Genius","10"
"CommBank","10"
"Latitude IT","10"
"Alinta Energy","10"
"Transport for NSW","10"
"Paxus - Technology + Digital Talent","10"
"VGW","10"
"Department of Energy, Environment and Climate Action","10"
"Effective People","10"
"Scentre Group","10"
"Whizdom","10"
"PRA","10"
"AustralianSuper","10"
"Department of Education","10"
"Konnexus","10"
"Programmed","10"
"SustainAbility","10"
"Datacom","10"
"JLL","10"
"Tasmanian Government Jobs","9"
"FinXL","9"
"Attribute Group","9"
"Gotech Solutions Pty Ltd","9"
"Blue Origin","9"
"Clarrow","9"
"Fulton Hogan","9"
"Slalom Build","9"
"Virgin Australia","9"
"ANZ Banking Group Limited","9"
"W Hotels","9"
"Manvision Consulting","9"
"Relectrify","9"
"Avanade","9"
"NOVON","9"
"pwc","9"
"Recruita","9"
"iVEGA Consulting","9"
"Seattle Genetics","9"
"The Salvation Army","9"
"Ethos BeathChapman","9"
"Harborview Medical Center","9"
"Zendesk","9"
"Aussie Broadband","9"
"Jacobs","9"
"Billigence","9"
"Water Corporation","9"
"Latitude Financial Services","9"
"Alloc8","9"
"Coles","9"
"Pwc","9"
"Profusion Group","9"
"Green Light Worldwide","9"
"Ambition Group","9"
"National Heavy Vehicle Regulator","9"
"The Drive Group","9"
"Stockland","9"
"UGL","9"
"Ignite","9"
"MongoDB","9"
